wavelength_nm,value
414.13,0.0086
417.32,0.0097
420.52,0.0057
423.72,0.0079
426.91,0.011
430.11,0.0073
433.31,0.0073
436.5,0.0099
439.7,0.0103
442.9,0.0101
446.09,0.0082
449.29,0.0084
452.49,0.0082
455.68,0.0084
458.88,0.0073
462.08,0.0094
465.27,0.0083
468.47,0.0073
471.67,0.0079
474.86,0.0084
478.06,0.008
481.26,0.0087
484.45,0.0082
487.65,0.0075
490.85,0.007
494.04,0.0075
497.24,0.0068
500.43,0.008
503.63,0.007
506.83,0.0076
510.03,0.0084
513.22,0.0093
516.42,0.0095
519.61,0.009
522.81,0.0092
526.01,0.0089
529.2,0.0086
532.4,0.0099
535.6,0.0099
538.79,0.0107
541.99,0.0097
545.19,0.0097
548.38,0.0096
551.58,0.0107
554.78,0.0115
557.97,0.0106
561.17,0.0102
564.37,0.0092
567.56,0.0093
570.76,0.0093
573.96,0.0086
577.15,0.0086
580.35,0.0083
583.55,0.0083
586.74,0.0084
589.94,0.009
593.14,0.0086
596.33,0.0083
599.53,0.0088
602.73,0.009
605.92,0.009
609.12,0.0085
612.32,0.0079
615.51,0.0083
618.71,0.008
621.91,0.0083
625.1,0.0086
628.3,0.0085
631.5,0.0086
634.69,0.0081
637.89,0.008
641.09,0.0086
644.28,0.0086
647.48,0.0087
650.67,0.0081
653.87,0.0083
657.07,0.0075
660.27,0.0075
663.46,0.0076
666.66,0.008
669.85,0.0083
673.05,0.0078
676.25,0.0081
679.45,0.0078
682.64,0.0079
685.84,0.0091
689.03,0.0114
692.23,0.0137
695.43,0.016
698.62,0.0183
701.82,0.0206
705.02,0.0229
708.21,0.0252
711.41,0.0275
714.61,0.0299
717.8,0.0322
721.0,0.0345
724.2,0.0368
727.39,0.0391
730.59,0.0414
733.79,0.0437
736.98,0.046
740.18,0.0483
743.38,0.0537
746.57,0.0583
749.77,0.061
752.97,0.0623
756.16,0.0636
759.36,0.0649
762.56,0.0662
765.75,0.0674
768.95,0.0687
772.15,0.07
775.34,0.0725
778.54,0.0731
781.74,0.0721
784.93,0.0711
788.13,0.0765
791.33,0.0768
794.52,0.0772
797.72,0.0775
800.92,0.0779
804.11,0.0782
807.31,0.0786
810.51,0.0789
813.7,0.0793
816.9,0.0796
820.1,0.08
823.29,0.0803
826.49,0.0807
829.68,0.081
832.88,0.0813
836.08,0.0817
839.28,0.082
842.47,0.0824
845.67,0.0806
848.86,0.0852
852.06,0.0821
855.26,0.0835
858.46,0.0856
861.65,0.0847
864.85,0.089
868.04,0.0844
871.24,0.0854
874.44,0.0856
877.63,0.0834
880.83,0.0875
884.03,0.0896
887.22,0.0922
890.42,0.0888
893.62,0.0937
896.81,0.0938
900.01,0.0936
903.21,0.0934
906.4,0.0931
909.6,0.0928
912.8,0.0925
915.99,0.0922
919.19,0.0918
922.39,0.0913
925.58,0.0909
928.78,0.0905
931.98,0.0901
935.17,0.0894
938.37,0.0887
941.57,0.0881
944.76,0.0877
947.96,0.0871
951.16,0.0865
954.35,0.0859
957.55,0.0854
960.75,0.085
963.94,0.0845
967.14,0.0841
970.1,0.0836
975.54,0.0833
980.98,0.0827
986.42,0.0823
991.86,0.0819
997.3,0.0813
1002.74,0.0816
1008.18,0.0825
1013.62,0.0838
1019.06,0.0884
1024.5,0.0879
1029.95,0.0886
1035.39,0.0883
1040.83,0.0885
1046.27,0.0905
1051.71,0.0934
1057.15,0.0954
1062.59,0.0964
1068.03,0.0975
1073.47,0.0962
1078.91,0.0962
1084.35,0.0961
1089.79,0.0942
1095.23,0.093
1100.67,0.0922
1106.11,0.0911
1111.55,0.09
1116.99,0.0887
1122.43,0.0871
1127.87,0.0855
1133.32,0.0835
1138.76,0.0807
1144.2,0.078
1149.64,0.0755
1155.08,0.0735
1160.52,0.0717
1165.96,0.0701
1171.4,0.0688
1176.84,0.0676
1182.28,0.0666
1187.72,0.068
1193.16,0.0694
1198.6,0.075
1204.04,0.0708
1209.48,0.0735
1214.92,0.0732
1220.36,0.0762
1225.8,0.0781
1231.24,0.0783
1236.69,0.0813
1242.13,0.0837
