wavelength_nm,value
414.13,0.0161
417.32,0.0176
420.52,0.0146
423.72,0.0166
426.91,0.0177
430.11,0.0198
433.31,0.0166
436.5,0.0183
439.7,0.0184
442.9,0.0202
446.09,0.0209
449.29,0.019
452.49,0.0189
455.68,0.02
458.88,0.0204
462.08,0.019
465.27,0.0204
468.47,0.0189
471.67,0.0206
474.86,0.0199
478.06,0.0222
481.26,0.0211
484.45,0.0238
487.65,0.021
490.85,0.02
494.04,0.02
497.24,0.0224
500.43,0.0233
503.63,0.023
506.83,0.0255
510.03,0.0259
513.22,0.0292
516.42,0.0341
519.61,0.0352
522.81,0.0371
526.01,0.0435
529.2,0.0475
532.4,0.051
535.6,0.0518
538.79,0.0569
541.99,0.056
545.19,0.0565
548.38,0.0586
551.58,0.059
554.78,0.0605
557.97,0.0608
561.17,0.0597
564.37,0.059
567.56,0.056
570.76,0.0549
573.96,0.0532
577.15,0.0509
580.35,0.05
583.55,0.0504
586.74,0.0469
589.94,0.049
593.14,0.0466
596.33,0.047
599.53,0.047
602.73,0.0448
605.92,0.0468
609.12,0.0456
612.32,0.0444
615.51,0.0441
618.71,0.0404
621.91,0.0423
625.1,0.0426
628.3,0.0439
631.5,0.041
634.69,0.042
637.89,0.0403
641.09,0.0409
644.28,0.0383
647.48,0.0379
650.67,0.0366
653.87,0.0368
657.07,0.0341
660.27,0.0315
663.46,0.035
666.66,0.0333
669.85,0.0337
673.05,0.0319
676.25,0.0325
679.45,0.0337
682.64,0.0343
685.84,0.0388
689.03,0.0526
692.23,0.0663
695.43,0.0801
698.62,0.0938
701.82,0.1076
705.02,0.1213
708.21,0.1351
711.41,0.1488
714.61,0.1626
717.8,0.1763
721.0,0.1901
724.2,0.2038
727.39,0.2176
730.59,0.2313
733.79,0.2451
736.98,0.2588
740.18,0.2726
743.38,0.2886
746.57,0.3021
749.77,0.3119
752.97,0.3152
756.16,0.3185
759.36,0.3219
762.56,0.3252
765.75,0.3286
768.95,0.3319
772.15,0.3353
775.34,0.3402
778.54,0.3507
781.74,0.3405
784.93,0.3457
788.13,0.3506
791.33,0.3523
794.52,0.3539
797.72,0.3556
800.92,0.3573
804.11,0.359
807.31,0.3606
810.51,0.3623
813.7,0.364
816.9,0.3657
820.1,0.3673
823.29,0.369
826.49,0.3707
829.68,0.3724
832.88,0.374
836.08,0.3757
839.28,0.3774
842.47,0.3791
845.67,0.3755
848.86,0.3855
852.06,0.3841
855.26,0.3647
858.46,0.3737
861.65,0.3786
864.85,0.3907
868.04,0.3803
871.24,0.3735
874.44,0.3743
877.63,0.3869
880.83,0.3874
884.03,0.3894
887.22,0.3917
890.42,0.3888
893.62,0.4065
896.81,0.4071
900.01,0.407
903.21,0.4072
906.4,0.4067
909.6,0.4065
912.8,0.4064
915.99,0.4059
919.19,0.4051
922.39,0.4041
925.58,0.4033
928.78,0.4025
931.98,0.4017
935.17,0.3995
938.37,0.3977
941.57,0.396
944.76,0.3949
947.96,0.3934
951.16,0.3916
954.35,0.3899
957.55,0.3887
960.75,0.3878
963.94,0.3868
967.14,0.3858
970.1,0.3849
975.54,0.3842
980.98,0.3833
986.42,0.3832
991.86,0.383
997.3,0.3823
1002.74,0.3855
1008.18,0.3983
1013.62,0.4047
1019.06,0.4046
1024.5,0.4072
1029.95,0.4073
1035.39,0.4067
1040.83,0.4097
1046.27,0.4168
1051.71,0.4198
1057.15,0.4261
1062.59,0.4268
1068.03,0.4271
1073.47,0.4181
1078.91,0.4132
1084.35,0.4155
1089.79,0.4099
1095.23,0.4076
1100.67,0.4066
1106.11,0.4047
1111.55,0.4027
1116.99,0.3997
1122.43,0.3958
1127.87,0.3912
1133.32,0.3851
1138.76,0.3756
1144.2,0.3657
1149.64,0.3573
1155.08,0.3507
1160.52,0.3449
1165.96,0.3404
1171.4,0.3372
1176.84,0.3345
1182.28,0.3331
1187.72,0.3434
1193.16,0.3538
1198.6,0.3599
1204.04,0.3688
1209.48,0.3759
1214.92,0.382
1220.36,0.385
1225.8,0.3965
1231.24,0.3938
1236.69,0.3974
1242.13,0.3979
1247.57,0.4012
1253.01,0.4004
1258.45,0.3924
1263.89,0.4003
