wavelength_nm,value
414.13,0.0127
417.32,0.0137
420.52,0.012
423.72,0.0138
426.91,0.0162
430.11,0.0155
433.31,0.0137
436.5,0.0155
439.7,0.0136
442.9,0.0151
446.09,0.0137
449.29,0.0146
452.49,0.0144
455.68,0.0137
458.88,0.0145
462.08,0.0149
465.27,0.0143
468.47,0.0139
471.67,0.0133
474.86,0.0148
478.06,0.0142
481.26,0.015
484.45,0.0158
487.65,0.0138
490.85,0.0132
494.04,0.0153
497.24,0.0163
500.43,0.0163
503.63,0.0161
506.83,0.0159
510.03,0.0166
513.22,0.0177
516.42,0.0189
519.61,0.0179
522.81,0.0173
526.01,0.0191
529.2,0.0191
532.4,0.0198
535.6,0.0204
538.79,0.0216
541.99,0.021
545.19,0.0217
548.38,0.0227
551.58,0.0224
554.78,0.0225
557.97,0.0243
561.17,0.0227
564.37,0.0237
567.56,0.0232
570.76,0.0254
573.96,0.0229
577.15,0.0226
580.35,0.0224
583.55,0.022
586.74,0.0229
589.94,0.0234
593.14,0.0224
596.33,0.0218
599.53,0.0211
602.73,0.0219
605.92,0.0202
609.12,0.0201
612.32,0.0213
615.51,0.0195
618.71,0.02
621.91,0.0199
625.1,0.0184
628.3,0.0188
631.5,0.0187
634.69,0.0177
637.89,0.0195
641.09,0.0186
644.28,0.0199
647.48,0.0201
650.67,0.0198
653.87,0.0187
657.07,0.0196
660.27,0.0161
663.46,0.0165
666.66,0.015
669.85,0.0158
673.05,0.0159
676.25,0.0165
679.45,0.0153
682.64,0.0174
685.84,0.0202
689.03,0.02
692.23,0.0198
695.43,0.0197
698.62,0.0195
701.82,0.0193
705.02,0.0191
708.21,0.019
711.41,0.0188
714.61,0.0186
717.8,0.0185
721.0,0.0183
724.2,0.0181
727.39,0.0179
730.59,0.0178
733.79,0.0176
736.98,0.0174
740.18,0.0173
743.38,0.0168
746.57,0.0179
749.77,0.0186
752.97,0.0185
756.16,0.0185
759.36,0.0184
762.56,0.0184
765.75,0.0183
768.95,0.0182
772.15,0.0182
775.34,0.019
778.54,0.0183
781.74,0.0166
784.93,0.0187
788.13,0.0178
791.33,0.0178
794.52,0.0178
797.72,0.0179
800.92,0.0179
804.11,0.018
807.31,0.018
810.51,0.0181
813.7,0.0181
816.9,0.0182
820.1,0.0182
823.29,0.0183
826.49,0.0183
829.68,0.0183
832.88,0.0184
836.08,0.0184
839.28,0.0185
842.47,0.0185
845.67,0.0161
848.86,0.0182
852.06,0.0152
855.26,0.0169
858.46,0.022
861.65,0.0166
864.85,0.0185
868.04,0.0176
871.24,0.0166
874.44,0.0167
877.63,0.0185
880.83,0.0193
884.03,0.0174
887.22,0.018
890.42,0.019
893.62,0.0202
896.81,0.0202
900.01,0.0198
903.21,0.0195
906.4,0.0192
909.6,0.0189
912.8,0.0185
915.99,0.0182
919.19,0.0179
922.39,0.0175
925.58,0.0172
928.78,0.0169
931.98,0.0166
935.17,0.0162
938.37,0.0159
941.57,0.0156
944.76,0.0153
947.96,0.0149
951.16,0.0146
954.35,0.0143
957.55,0.0139
960.75,0.0136
963.94,0.0133
967.14,0.013
970.1,0.0126
975.54,0.0123
980.98,0.0118
986.42,0.0112
991.86,0.0107
997.3,0.0101
1002.74,0.0095
1008.18,0.0076
1013.62,0.0096
1019.06,0.0095
1024.5,0.0093
1029.95,0.0073
1035.39,0.008
1040.83,0.0084
1046.27,0.0082
1051.71,0.0102
1057.15,0.0096
1062.59,0.0081
1068.03,0.0092
1073.47,0.0098
1078.91,0.0088
1084.35,0.0088
1089.79,0.0087
1095.23,0.0087
1100.67,0.0087
1106.11,0.0087
1111.55,0.0086
1116.99,0.0086
1122.43,0.0086
1127.87,0.0085
1133.32,0.0085
1138.76,0.0085
1144.2,0.0085
1149.64,0.0084
1155.08,0.0084
1160.52,0.0084
1165.96,0.0083
1171.4,0.0083
1176.84,0.0083
1182.28,0.0083
1187.72,0.0082
1193.16,0.0082
1198.6,0.0092
1204.04,0.0094
1209.48,0.0098
1214.92,0.0092
1220.36,0.0083
1225.8,0.0101
1231.24,0.0096
1236.69,0.0091
1242.13,0.0097
1247.57,0.0106
1253.01,0.0097
1258.45,0.0097
1263.89,0.0108
1269.33,0.0096
1274.77,0.0087
1280.21,0.0099
1285.65,0.0096
1291.09,0.0093
1296.53,0.0104
1301.97,0.0104
1307.41,0.0094
1312.85,0.0084
1318.29,0.0092
1323.73,0.009
1329.17,0.0105
1334.61,0.0102
1340.06,0.0099
1345.5,0.0096
1350.94,0.0093
1356.38,0.009
1361.82,0.0087
1367.26,0.0084
1372.7,0.0081
1378.14,0.0078
1383.58,0.0075
1389.02,0.0072
1394.46,0.0069
1399.9,0.0066
1405.34,0.0063
1410.78,0.006
1416.22,0.0057
1421.66,0.0055
1427.1,0.0052
1432.54,0.0049
1437.98,0.0046
1443.43,0.0043
1448.87,0.004
1454.31,0.0037
1459.75,0.0034
1465.19,0.0032
1470.63,0.0029
1476.07,0.0026
1481.51,0.0023
1486.95,0.002
1492.39,0.0017
1497.83,0.0025
1503.27,0.0029
1508.71,0.0036
1514.15,0.0032
1519.59,0.003
1525.03,0.0044
1530.47,0.0047
1535.91,0.0037
1541.35,0.0037
1546.8,0.0046
1552.24,0.0038
1557.68,0.0047
1563.12,0.004
1568.56,0.0049
1574.0,0.0046
1579.44,0.0044
1584.88,0.0041
1590.32,0.0044
1595.76,0.0042
1601.2,0.005
1606.64,0.0047
1612.08,0.0057
1617.52,0.0037
1622.96,0.0055
1628.4,0.0054
1633.84,0.0048
1639.28,0.0052
1644.72,0.004
1650.17,0.0046
1655.61,0.0047
1661.05,0.0059
1666.49,0.0053
1671.93,0.0034
1677.37,0.0048
1682.81,0.005
1688.25,0.0056
1693.69,0.0049
1699.13,0.0048
1704.57,0.0046
1710.01,0.0035
1715.45,0.0044
1720.89,0.0035
1726.33,0.0031
1731.77,0.0037
1737.21,0.0033
1742.65,0.004
1748.09,0.0043
1753.54,0.0033
1758.98,0.0053
1764.42,0.0028
1769.86,0.0032
1775.3,0.0
1780.74,0.0
1786.18,0.0
1791.62,0.0
1797.06,0.0
1802.5,0.0
1807.94,0.0
1813.38,0.0
1818.82,0.0
1824.26,0.0
1829.7,0.0
1835.14,0.0
1840.58,0.0
1846.02,0.0
1851.46,0.0
1856.91,0.0
1862.35,0.0
1867.79,0.0
1873.23,0.0
1878.67,0.0
1884.11,0.0
1889.55,0.0
1894.99,0.0
1900.43,0.0
1905.87,0.0
1911.31,0.0
1916.75,0.0
1922.19,0.0
1927.63,0.0
1933.07,0.0
1938.51,0.0
1943.95,0.0
1949.39,0.0
1954.83,0.0
1960.28,0.0
1965.72,0.0
1971.16,0.0
1976.6,0.0
1982.04,0.0
1987.48,0.0
1992.92,0.0
1998.36,0.0
2003.8,0.0703
2009.24,0.0537
2014.68,0.0639
2020.12,0.0
2025.56,0.0034
2031.0,0.0628
2036.44,0.0
2041.88,0.0006
2047.32,0.0005
2052.76,0.0
2058.2,0.0008
2063.65,0.0668
2069.09,0.0
2074.53,0.0019
2079.97,0.0008
2085.41,0.0022
2090.85,0.0009
2096.29,0.0002
2101.73,0.0006
2107.17,0.0021
2112.61,0.0019
2118.05,0.0745
2123.49,0.0
2128.93,0.0008
2134.37,0.0012
2139.81,0.0005
2145.25,0.001
2150.69,0.0021
2156.13,0.0009
2161.57,0.0023
2167.02,0.0
2172.46,0.0032
2177.9,0.0006
2183.34,0.0002
2188.78,0.0017
2194.22,0.0815
2199.66,0.086
2205.1,0.0875
2210.54,0.0853
2215.98,0.0
2221.42,0.0001
2226.86,0.0
2232.3,0.0007
2237.74,0.0826
2243.18,0.0001
2248.62,0.0
2254.06,0.0772
2259.5,0.075
2264.94,0.0732
2270.39,0.0731
2275.83,0.0
2281.27,0.0012
2286.71,0.0
2292.15,0.0014
2297.59,0.0682
2303.03,0.0671
2308.47,0.0643
2313.91,0.0579
2319.35,0.0006
2324.79,0.004
2330.23,0.0
2335.67,0.0002
2341.11,0.0031
2346.55,0.0521
2351.99,0.0612
2357.43,0.0587
2362.87,0.0495
2368.32,0.0
2373.76,0.0008
2379.2,0.0491
2384.64,0.0563
2390.08,0.0546
2395.52,0.0514
2400.96,0.0
2406.4,0.0008
2411.84,0.0415
2417.28,0.0627
2422.72,0.0528
2428.16,0.0426
2433.6,0.0569
2439.04,0.0431
2444.48,0.0392
2449.92,0.0788
2455.36,0.0558
2460.8,0.0455
2466.24,0.0492
2471.69,0.0806
2477.13,0.0697
2482.57,0.2664
2488.01,0.4002
2493.45,0.7037
2498.89,0.2139
