wavelength_nm,value
414.13,0.0272
417.32,0.031
420.52,0.031
423.72,0.034
426.91,0.0347
430.11,0.0379
433.31,0.0336
436.5,0.0373
439.7,0.0388
442.9,0.0398
446.09,0.0378
449.29,0.0382
452.49,0.0413
455.68,0.0397
458.88,0.0425
462.08,0.0421
465.27,0.0439
468.47,0.0428
471.67,0.0444
474.86,0.0454
478.06,0.0498
481.26,0.0492
484.45,0.0502
487.65,0.0525
490.85,0.0492
494.04,0.0527
497.24,0.0528
500.43,0.0587
503.63,0.0565
506.83,0.0582
510.03,0.0603
513.22,0.0626
516.42,0.0656
519.61,0.0621
522.81,0.0629
526.01,0.0676
529.2,0.0668
532.4,0.0702
535.6,0.0733
538.79,0.0753
541.99,0.0772
545.19,0.078
548.38,0.0788
551.58,0.0802
554.78,0.0839
557.97,0.085
561.17,0.0849
564.37,0.0855
567.56,0.0879
570.76,0.0895
573.96,0.0876
577.15,0.0877
580.35,0.0896
583.55,0.0912
586.74,0.0937
589.94,0.0948
593.14,0.0937
596.33,0.092
599.53,0.0916
602.73,0.0939
605.92,0.0939
609.12,0.0943
612.32,0.094
615.51,0.0947
618.71,0.0939
621.91,0.0931
625.1,0.0963
628.3,0.0965
631.5,0.0961
634.69,0.0981
637.89,0.0964
641.09,0.1003
644.28,0.1004
647.48,0.103
650.67,0.0991
653.87,0.0988
657.07,0.099
660.27,0.0933
663.46,0.0969
666.66,0.0984
669.85,0.0969
673.05,0.0965
676.25,0.098
679.45,0.0975
682.64,0.0995
685.84,0.1059
689.03,0.1028
692.23,0.0997
695.43,0.0965
698.62,0.0934
701.82,0.0903
705.02,0.0872
708.21,0.0841
711.41,0.081
714.61,0.0778
717.8,0.0747
721.0,0.0716
724.2,0.0685
727.39,0.0654
730.59,0.0623
733.79,0.0591
736.98,0.056
740.18,0.0529
743.38,0.0517
746.57,0.052
749.77,0.0529
752.97,0.053
756.16,0.0531
759.36,0.0533
762.56,0.0534
765.75,0.0535
768.95,0.0537
772.15,0.0538
775.34,0.0537
778.54,0.0577
781.74,0.0561
784.93,0.0556
788.13,0.0572
791.33,0.0564
794.52,0.0555
797.72,0.0546
800.92,0.0538
804.11,0.0529
807.31,0.0521
810.51,0.0512
813.7,0.0503
816.9,0.0495
820.1,0.0486
823.29,0.0477
826.49,0.0469
829.68,0.046
832.88,0.0451
836.08,0.0443
839.28,0.0434
842.47,0.0425
845.67,0.0434
848.86,0.0412
852.06,0.0415
855.26,0.0409
858.46,0.039
861.65,0.0362
864.85,0.0414
868.04,0.0411
871.24,0.0359
874.44,0.0385
877.63,0.0382
880.83,0.0344
884.03,0.0358
887.22,0.0361
890.42,0.0321
893.62,0.032
896.81,0.032
900.01,0.0314
903.21,0.0309
906.4,0.0303
909.6,0.0297
912.8,0.0291
915.99,0.0285
919.19,0.028
922.39,0.0274
925.58,0.0268
928.78,0.0262
931.98,0.0256
935.17,0.0251
938.37,0.0245
941.57,0.0239
944.76,0.0233
947.96,0.0227
951.16,0.0222
954.35,0.0216
957.55,0.021
960.75,0.0204
963.94,0.0198
967.14,0.0193
970.1,0.0187
975.54,0.0181
980.98,0.0172
986.42,0.0162
991.86,0.0152
997.3,0.0142
1002.74,0.0132
1008.18,0.0141
1013.62,0.0134
1019.06,0.0137
1024.5,0.0133
1029.95,0.014
1035.39,0.0154
1040.83,0.0143
1046.27,0.0149
1051.71,0.0159
1057.15,0.0165
1062.59,0.0162
1068.03,0.0153
1073.47,0.0157
1078.91,0.0148
1084.35,0.0146
1089.79,0.0143
1095.23,0.0141
1100.67,0.0138
1106.11,0.0136
1111.55,0.0133
1116.99,0.0131
1122.43,0.0128
1127.87,0.0126
1133.32,0.0123
1138.76,0.0121
1144.2,0.0118
1149.64,0.0116
1155.08,0.0113
1160.52,0.0111
1165.96,0.0108
1171.4,0.0106
1176.84,0.0104
1182.28,0.0101
1187.72,0.0099
1193.16,0.0096
1198.6,0.0118
1204.04,0.0088
1209.48,0.0101
1214.92,0.0094
1220.36,0.0096
1225.8,0.0099
1231.24,0.01
1236.69,0.0099
1242.13,0.0101
1247.57,0.0101
1253.01,0.012
1258.45,0.0103
1263.89,0.0097
1269.33,0.0105
1274.77,0.0115
1280.21,0.0113
1285.65,0.0116
1291.09,0.0088
1296.53,0.0107
1301.97,0.0108
1307.41,0.0081
1312.85,0.0089
1318.29,0.0091
1323.73,0.0097
1329.17,0.0115
1334.61,0.0113
1340.06,0.0111
1345.5,0.0109
1350.94,0.0107
1356.38,0.0104
1361.82,0.0102
1367.26,0.01
1372.7,0.0098
1378.14,0.0096
1383.58,0.0094
1389.02,0.0092
1394.46,0.009
1399.9,0.0088
1405.34,0.0086
1410.78,0.0084
1416.22,0.0082
1421.66,0.008
1427.1,0.0078
1432.54,0.0076
1437.98,0.0074
1443.43,0.0072
1448.87,0.007
1454.31,0.0068
1459.75,0.0066
1465.19,0.0064
1470.63,0.0062
1476.07,0.006
1481.51,0.0058
1486.95,0.0056
1492.39,0.0054
1497.83,0.0048
1503.27,0.0052
1508.71,0.0053
1514.15,0.006
1519.59,0.0068
1525.03,0.0053
1530.47,0.006
1535.91,0.0074
1541.35,0.0064
1546.8,0.0065
1552.24,0.0052
1557.68,0.0066
1563.12,0.0054
1568.56,0.0068
1574.0,0.0069
1579.44,0.007
1584.88,0.0067
1590.32,0.0059
1595.76,0.0064
1601.2,0.0077
1606.64,0.0056
1612.08,0.0076
1617.52,0.0062
1622.96,0.0075
1628.4,0.0069
1633.84,0.0061
1639.28,0.0067
1644.72,0.0066
1650.17,0.0069
1655.61,0.0068
1661.05,0.0069
1666.49,0.0068
1671.93,0.0069
1677.37,0.0052
1682.81,0.0064
1688.25,0.0045
1693.69,0.0069
1699.13,0.007
1704.57,0.0064
1710.01,0.0053
1715.45,0.0061
1720.89,0.0046
1726.33,0.0071
1731.77,0.0054
1737.21,0.0068
1742.65,0.006
1748.09,0.0047
1753.54,0.0064
1758.98,0.0063
1764.42,0.0041
1769.86,0.006
1775.3,0.0045
1780.74,0.0045
1786.18,0.0045
1791.62,0.0045
1797.06,0.0045
1802.5,0.0045
1807.94,0.0044
1813.38,0.0044
1818.82,0.0044
1824.26,0.0044
1829.7,0.0044
1835.14,0.0044
1840.58,0.0044
1846.02,0.0043
1851.46,0.0043
1856.91,0.0043
1862.35,0.0043
1867.79,0.0043
1873.23,0.0043
1878.67,0.0043
1884.11,0.0043
1889.55,0.0043
1894.99,0.0042
1900.43,0.0042
1905.87,0.0042
1911.31,0.0042
1916.75,0.0042
1922.19,0.0042
1927.63,0.0042
1933.07,0.0042
1938.51,0.0042
1943.95,0.0042
1949.39,0.0042
1954.83,0.0041
1960.28,0.0041
1965.72,0.0041
1971.16,0.0041
1976.6,0.0041
1982.04,0.0041
1987.48,0.0041
1992.92,0.0041
1998.36,0.0
2003.8,0.0077
2009.24,0.0105
2014.68,0.0003
2020.12,0.0538
2025.56,0.0024
2031.0,0.0037
2036.44,0.0037
2041.88,0.0029
2047.32,0.0
2052.76,0.0701
2058.2,0.0049
2063.65,0.0092
2069.09,0.0015
2074.53,0.001
2079.97,0.0014
2085.41,0.0032
2090.85,0.0026
2096.29,0.0063
2101.73,0.003
2107.17,0.0053
2112.61,0.0021
2118.05,0.0023
2123.49,0.0006
2128.93,0.0028
2134.37,0.0031
2139.81,0.0029
2145.25,0.0053
2150.69,0.0043
2156.13,0.0046
2161.57,0.0002
2167.02,0.0065
2172.46,0.0087
2177.9,0.008
2183.34,0.0056
2188.78,0.0059
2194.22,0.0031
2199.66,0.0045
2205.1,0.008
2210.54,0.0079
2215.98,0.0055
2221.42,0.0121
2226.86,0.0009
2232.3,0.0017
2237.74,0.007
2243.18,0.006
2248.62,0.0039
2254.06,0.0015
2259.5,0.0785
2264.94,0.0039
2270.39,0.0038
2275.83,0.0029
2281.27,0.0045
2286.71,0.0041
2292.15,0.0028
2297.59,0.0035
2303.03,0.0017
2308.47,0.0044
2313.91,0.0054
2319.35,0.0031
2324.79,0.0022
2330.23,0.0621
2335.67,0.0064
2341.11,0.0018
2346.55,0.0606
2351.99,0.0602
2357.43,0.0545
2362.87,0.0059
2368.32,0.0039
2373.76,0.0057
2379.2,0.0007
2384.64,0.0601
2390.08,0.0013
2395.52,0.0049
2400.96,0.0021
2406.4,0.0
2411.84,0.0589
2417.28,0.061
2422.72,0.0021
2428.16,0.0
2433.6,0.0002
2439.04,0.0419
2444.48,0.0026
2449.92,0.0002
2455.36,0.0358
2460.8,0.0633
2466.24,0.0629
2471.69,0.0925
2477.13,0.0743
2482.57,0.0405
2488.01,0.2884
2493.45,0.4289
2498.89,0.0462
