wavelength_nm,value
414.13,0.0409
417.32,0.0328
420.52,0.0395
423.72,0.0401
426.91,0.0409
430.11,0.0467
433.31,0.0449
436.5,0.0453
439.7,0.0462
442.9,0.0429
446.09,0.0473
449.29,0.0474
452.49,0.0497
455.68,0.0514
458.88,0.0518
462.08,0.0551
465.27,0.0537
468.47,0.0521
471.67,0.0532
474.86,0.06
478.06,0.0597
481.26,0.0579
484.45,0.0624
487.65,0.0609
490.85,0.0621
494.04,0.0625
497.24,0.0665
500.43,0.0674
503.63,0.0649
506.83,0.0688
510.03,0.0696
513.22,0.0711
516.42,0.0748
519.61,0.0718
522.81,0.0731
526.01,0.0752
529.2,0.0758
532.4,0.0779
535.6,0.0776
538.79,0.0843
541.99,0.0825
545.19,0.0842
548.38,0.0843
551.58,0.0869
554.78,0.0875
557.97,0.0899
561.17,0.0878
564.37,0.0901
567.56,0.0902
570.76,0.0924
573.96,0.0931
577.15,0.0916
580.35,0.0928
583.55,0.0956
586.74,0.0969
589.94,0.0991
593.14,0.0979
596.33,0.0999
599.53,0.0997
602.73,0.1001
605.92,0.1013
609.12,0.1052
612.32,0.1038
615.51,0.1035
618.71,0.1067
621.91,0.1074
625.1,0.1095
628.3,0.1126
631.5,0.1095
634.69,0.1123
637.89,0.1118
641.09,0.1157
644.28,0.12
647.48,0.1187
650.67,0.119
653.87,0.1198
657.07,0.1191
660.27,0.1151
663.46,0.1221
666.66,0.122
669.85,0.1242
673.05,0.1252
676.25,0.129
679.45,0.1258
682.64,0.128
685.84,0.143
689.03,0.1444
692.23,0.1459
695.43,0.1473
698.62,0.1487
701.82,0.1502
705.02,0.1516
708.21,0.1531
711.41,0.1545
714.61,0.156
717.8,0.1574
721.0,0.1589
724.2,0.1603
727.39,0.1617
730.59,0.1632
733.79,0.1646
736.98,0.1661
740.18,0.1675
743.38,0.1681
746.57,0.1721
749.77,0.1726
752.97,0.175
756.16,0.1773
759.36,0.1796
762.56,0.1819
765.75,0.1842
768.95,0.1866
772.15,0.1889
775.34,0.1883
778.54,0.1929
781.74,0.1859
784.93,0.1943
788.13,0.1931
791.33,0.194
794.52,0.195
797.72,0.196
800.92,0.197
804.11,0.198
807.31,0.199
810.51,0.1999
813.7,0.2009
816.9,0.2019
820.1,0.2029
823.29,0.2039
826.49,0.2049
829.68,0.2058
832.88,0.2068
836.08,0.2078
839.28,0.2088
842.47,0.2098
845.67,0.2134
848.86,0.2248
852.06,0.2215
855.26,0.2167
858.46,0.2146
861.65,0.2239
864.85,0.2355
868.04,0.221
871.24,0.2251
874.44,0.2269
877.63,0.2194
880.83,0.215
884.03,0.2216
887.22,0.2252
890.42,0.2173
893.62,0.2411
896.81,0.2409
900.01,0.2399
903.21,0.2389
906.4,0.238
909.6,0.2371
912.8,0.2361
915.99,0.2353
919.19,0.2345
922.39,0.2338
925.58,0.233
928.78,0.2322
931.98,0.2314
935.17,0.2308
938.37,0.2301
941.57,0.2293
944.76,0.2285
947.96,0.2279
951.16,0.2273
954.35,0.2267
957.55,0.2259
960.75,0.225
963.94,0.2241
967.14,0.2232
970.1,0.2222
975.54,0.2213
980.98,0.2196
986.42,0.2177
991.86,0.2158
997.3,0.2143
1002.74,0.2132
1008.18,0.2137
1013.62,0.216
1019.06,0.2215
1024.5,0.2201
1029.95,0.2166
1035.39,0.2175
1040.83,0.2184
1046.27,0.2218
1051.71,0.2265
1057.15,0.2324
1062.59,0.2328
1068.03,0.233
1073.47,0.2271
1078.91,0.229
1084.35,0.2275
1089.79,0.2282
1095.23,0.2279
1100.67,0.2273
1106.11,0.2269
1111.55,0.2266
1116.99,0.2264
1122.43,0.2261
1127.87,0.2254
1133.32,0.2249
1138.76,0.2251
1144.2,0.2255
1149.64,0.2256
1155.08,0.2249
1160.52,0.2241
1165.96,0.2236
1171.4,0.2229
1176.84,0.2222
1182.28,0.2217
1187.72,0.2242
1193.16,0.2267
1198.6,0.2466
1204.04,0.2387
1209.48,0.2432
1214.92,0.2423
1220.36,0.2457
1225.8,0.2518
1231.24,0.2532
1236.69,0.2582
1242.13,0.264
1247.57,0.2681
1253.01,0.2723
1258.45,0.2787
1263.89,0.2851
1269.33,0.2738
1274.77,0.2576
1280.21,0.2733
1285.65,0.2735
1291.09,0.2777
1296.53,0.2827
1301.97,0.2861
1307.41,0.2831
1312.85,0.2843
1318.29,0.2688
1323.73,0.2753
1329.17,0.3285
1334.61,0.3223
1340.06,0.3155
1345.5,0.3081
1350.94,0.3005
1356.38,0.2927
1361.82,0.285
1367.26,0.2776
1372.7,0.2704
1378.14,0.2637
1383.58,0.2573
1389.02,0.2513
1394.46,0.2455
1399.9,0.2398
1405.34,0.2343
1410.78,0.2287
1416.22,0.2231
1421.66,0.2176
1427.1,0.2121
1432.54,0.2068
1437.98,0.2016
1443.43,0.1966
1448.87,0.1918
1454.31,0.1872
1459.75,0.1827
1465.19,0.1782
1470.63,0.1737
1476.07,0.169
1481.51,0.164
1486.95,0.1585
1492.39,0.153
1497.83,0.1724
1503.27,0.1973
1508.71,0.1891
1514.15,0.2146
1519.59,0.2198
1525.03,0.2314
1530.47,0.2349
1535.91,0.2464
1541.35,0.2529
1546.8,0.2559
1552.24,0.2585
1557.68,0.2643
1563.12,0.2627
1568.56,0.2753
1574.0,0.2691
1579.44,0.2629
1584.88,0.2646
1590.32,0.2686
1595.76,0.2681
1601.2,0.2769
1606.64,0.2745
1612.08,0.2787
1617.52,0.2707
1622.96,0.2752
1628.4,0.281
1633.84,0.2823
1639.28,0.287
1644.72,0.2826
1650.17,0.2835
1655.61,0.2825
1661.05,0.2863
1666.49,0.2823
1671.93,0.2838
1677.37,0.2885
1682.81,0.2895
1688.25,0.2851
1693.69,0.2822
1699.13,0.2812
1704.57,0.2808
1710.01,0.2805
1715.45,0.2807
1720.89,0.2783
1726.33,0.2736
1731.77,0.2717
1737.21,0.2794
1742.65,0.2748
1748.09,0.2776
1753.54,0.2784
1758.98,0.2704
1764.42,0.272
1769.86,0.2508
1775.3,0.2561
1780.74,0.2536
1786.18,0.2507
1791.62,0.2477
1797.06,0.2444
1802.5,0.2409
1807.94,0.2374
1813.38,0.2339
1818.82,0.2304
1824.26,0.227
1829.7,0.2237
1835.14,0.2206
1840.58,0.2177
1846.02,0.2149
1851.46,0.2123
1856.91,0.2098
1862.35,0.2074
1867.79,0.2051
1873.23,0.2028
1878.67,0.2006
1884.11,0.1983
1889.55,0.1961
1894.99,0.1939
1900.43,0.1916
1905.87,0.1894
1911.31,0.1873
1916.75,0.1853
1922.19,0.1833
1927.63,0.1815
1933.07,0.1798
1938.51,0.1782
1943.95,0.1767
1949.39,0.1752
1954.83,0.1738
1960.28,0.1724
1965.72,0.171
1971.16,0.1694
1976.6,0.1677
1982.04,0.1658
1987.48,0.1636
1992.92,0.1615
1998.36,0.1325
2003.8,0.1847
2009.24,0.162
2014.68,0.1976
2020.12,0.2094
2025.56,0.204
2031.0,0.2053
2036.44,0.2006
2041.88,0.2016
2047.32,0.1868
2052.76,0.1962
2058.2,0.1935
2063.65,0.1969
2069.09,0.2011
2074.53,0.2057
2079.97,0.1983
2085.41,0.204
2090.85,0.2021
2096.29,0.1969
2101.73,0.2052
2107.17,0.1992
2112.61,0.2024
2118.05,0.2032
2123.49,0.206
2128.93,0.2106
2134.37,0.2108
2139.81,0.21
2145.25,0.2074
2150.69,0.2159
2156.13,0.2128
2161.57,0.2122
2167.02,0.2192
2172.46,0.2104
2177.9,0.2102
2183.34,0.2147
2188.78,0.2172
2194.22,0.206
2199.66,0.2192
2205.1,0.2187
2210.54,0.2171
2215.98,0.2202
2221.42,0.2176
2226.86,0.2173
2232.3,0.2119
2237.74,0.2094
2243.18,0.2068
2248.62,0.2021
2254.06,0.1961
2259.5,0.1962
2264.94,0.1905
2270.39,0.193
2275.83,0.1855
2281.27,0.1905
2286.71,0.1782
2292.15,0.1806
2297.59,0.1906
2303.03,0.1817
2308.47,0.1725
2313.91,0.1591
2319.35,0.1782
2324.79,0.1758
2330.23,0.1628
2335.67,0.1551
2341.11,0.16
2346.55,0.1383
2351.99,0.1735
2357.43,0.1669
2362.87,0.1388
2368.32,0.1456
2373.76,0.1494
2379.2,0.1363
2384.64,0.1676
2390.08,0.1563
2395.52,0.1525
2400.96,0.1313
2406.4,0.1195
2411.84,0.0992
2417.28,0.168
2422.72,0.1454
2428.16,0.113
2433.6,0.1202
2439.04,0.0968
2444.48,0.022
2449.92,0.1537
2455.36,0.1144
2460.8,0.0768
2466.24,0.0708
2471.69,0.0886
2477.13,0.0766
2482.57,0.3038
2488.01,0.4698
2493.45,0.8489
2498.89,0.2468
