wavelength_nm,value,class,source_image,sample_id
414.13,0.0177,contaminated,13,p213
417.32,0.02,contaminated,13,p213
420.52,0.0195,contaminated,13,p213
423.72,0.0187,contaminated,13,p213
426.91,0.0213,contaminated,13,p213
430.11,0.0232,contaminated,13,p213
433.31,0.0206,contaminated,13,p213
436.5,0.0177,contaminated,13,p213
439.7,0.0185,contaminated,13,p213
442.9,0.0187,contaminated,13,p213
446.09,0.0194,contaminated,13,p213
449.29,0.0189,contaminated,13,p213
452.49,0.0195,contaminated,13,p213
455.68,0.0186,contaminated,13,p213
458.88,0.0198,contaminated,13,p213
462.08,0.0206,contaminated,13,p213
465.27,0.0193,contaminated,13,p213
468.47,0.0183,contaminated,13,p213
471.67,0.0187,contaminated,13,p213
474.86,0.0178,contaminated,13,p213
478.06,0.0204,contaminated,13,p213
481.26,0.0225,contaminated,13,p213
484.45,0.0232,contaminated,13,p213
487.65,0.0226,contaminated,13,p213
490.85,0.0215,contaminated,13,p213
494.04,0.022,contaminated,13,p213
497.24,0.024,contaminated,13,p213
500.43,0.026,contaminated,13,p213
503.63,0.0223,contaminated,13,p213
506.83,0.0257,contaminated,13,p213
510.03,0.0255,contaminated,13,p213
513.22,0.0272,contaminated,13,p213
516.42,0.0296,contaminated,13,p213
519.61,0.0277,contaminated,13,p213
522.81,0.0283,contaminated,13,p213
526.01,0.0311,contaminated,13,p213
529.2,0.0299,contaminated,13,p213
532.4,0.0322,contaminated,13,p213
535.6,0.0329,contaminated,13,p213
538.79,0.0353,contaminated,13,p213
541.99,0.0353,contaminated,13,p213
545.19,0.0354,contaminated,13,p213
548.38,0.0361,contaminated,13,p213
551.58,0.0365,contaminated,13,p213
554.78,0.0382,contaminated,13,p213
557.97,0.0401,contaminated,13,p213
561.17,0.0409,contaminated,13,p213
564.37,0.0391,contaminated,13,p213
567.56,0.0405,contaminated,13,p213
570.76,0.042,contaminated,13,p213
573.96,0.0414,contaminated,13,p213
577.15,0.0392,contaminated,13,p213
580.35,0.0403,contaminated,13,p213
583.55,0.0395,contaminated,13,p213
586.74,0.0406,contaminated,13,p213
589.94,0.0404,contaminated,13,p213
593.14,0.0386,contaminated,13,p213
596.33,0.0385,contaminated,13,p213
599.53,0.0385,contaminated,13,p213
602.73,0.0388,contaminated,13,p213
605.92,0.0381,contaminated,13,p213
609.12,0.038,contaminated,13,p213
612.32,0.036,contaminated,13,p213
615.51,0.0355,contaminated,13,p213
618.71,0.0328,contaminated,13,p213
621.91,0.0347,contaminated,13,p213
625.1,0.034,contaminated,13,p213
628.3,0.0353,contaminated,13,p213
631.5,0.035,contaminated,13,p213
634.69,0.035,contaminated,13,p213
637.89,0.0344,contaminated,13,p213
641.09,0.0348,contaminated,13,p213
644.28,0.0352,contaminated,13,p213
647.48,0.0361,contaminated,13,p213
650.67,0.0344,contaminated,13,p213
653.87,0.0341,contaminated,13,p213
657.07,0.0331,contaminated,13,p213
660.27,0.0298,contaminated,13,p213
663.46,0.0295,contaminated,13,p213
666.66,0.0285,contaminated,13,p213
669.85,0.0264,contaminated,13,p213
673.05,0.0239,contaminated,13,p213
676.25,0.0244,contaminated,13,p213
679.45,0.0255,contaminated,13,p213
682.64,0.0256,contaminated,13,p213
685.84,0.0296,contaminated,13,p213
689.03,0.0292,contaminated,13,p213
692.23,0.0288,contaminated,13,p213
695.43,0.0284,contaminated,13,p213
698.62,0.028,contaminated,13,p213
701.82,0.0276,contaminated,13,p213
705.02,0.0272,contaminated,13,p213
708.21,0.0268,contaminated,13,p213
711.41,0.0264,contaminated,13,p213
714.61,0.0259,contaminated,13,p213
717.8,0.0255,contaminated,13,p213
721.0,0.0251,contaminated,13,p213
724.2,0.0247,contaminated,13,p213
727.39,0.0243,contaminated,13,p213
730.59,0.0239,contaminated,13,p213
733.79,0.0235,contaminated,13,p213
736.98,0.0231,contaminated,13,p213
740.18,0.0226,contaminated,13,p213
743.38,0.0238,contaminated,13,p213
746.57,0.0235,contaminated,13,p213
749.77,0.0242,contaminated,13,p213
752.97,0.0243,contaminated,13,p213
756.16,0.0244,contaminated,13,p213
759.36,0.0245,contaminated,13,p213
762.56,0.0246,contaminated,13,p213
765.75,0.0246,contaminated,13,p213
768.95,0.0247,contaminated,13,p213
772.15,0.0248,contaminated,13,p213
775.34,0.0233,contaminated,13,p213
778.54,0.0237,contaminated,13,p213
781.74,0.0234,contaminated,13,p213
784.93,0.0249,contaminated,13,p213
788.13,0.0241,contaminated,13,p213
791.33,0.0239,contaminated,13,p213
794.52,0.0237,contaminated,13,p213
797.72,0.0235,contaminated,13,p213
800.92,0.0233,contaminated,13,p213
804.11,0.0231,contaminated,13,p213
807.31,0.023,contaminated,13,p213
810.51,0.0228,contaminated,13,p213
813.7,0.0226,contaminated,13,p213
816.9,0.0224,contaminated,13,p213
820.1,0.0222,contaminated,13,p213
823.29,0.022,contaminated,13,p213
826.49,0.0219,contaminated,13,p213
829.68,0.0217,contaminated,13,p213
832.88,0.0215,contaminated,13,p213
836.08,0.0213,contaminated,13,p213
839.28,0.0211,contaminated,13,p213
842.47,0.0209,contaminated,13,p213
845.67,0.019,contaminated,13,p213
848.86,0.0228,contaminated,13,p213
852.06,0.0195,contaminated,13,p213
855.26,0.0188,contaminated,13,p213
858.46,0.018,contaminated,13,p213
861.65,0.0185,contaminated,13,p213
864.85,0.0197,contaminated,13,p213
868.04,0.0197,contaminated,13,p213
871.24,0.0195,contaminated,13,p213
874.44,0.0182,contaminated,13,p213
877.63,0.0192,contaminated,13,p213
880.83,0.0181,contaminated,13,p213
884.03,0.0182,contaminated,13,p213
887.22,0.0215,contaminated,13,p213
890.42,0.0169,contaminated,13,p213
893.62,0.0194,contaminated,13,p213
896.81,0.0194,contaminated,13,p213
900.01,0.0192,contaminated,13,p213
903.21,0.0189,contaminated,13,p213
906.4,0.0187,contaminated,13,p213
909.6,0.0184,contaminated,13,p213
912.8,0.0182,contaminated,13,p213
915.99,0.0179,contaminated,13,p213
919.19,0.0177,contaminated,13,p213
922.39,0.0175,contaminated,13,p213
925.58,0.0172,contaminated,13,p213
928.78,0.017,contaminated,13,p213
931.98,0.0167,contaminated,13,p213
935.17,0.0165,contaminated,13,p213
938.37,0.0162,contaminated,13,p213
941.57,0.016,contaminated,13,p213
944.76,0.0158,contaminated,13,p213
947.96,0.0155,contaminated,13,p213
951.16,0.0153,contaminated,13,p213
954.35,0.015,contaminated,13,p213
957.55,0.0148,contaminated,13,p213
960.75,0.0145,contaminated,13,p213
963.94,0.0143,contaminated,13,p213
967.14,0.0141,contaminated,13,p213
970.1,0.0138,contaminated,13,p213
975.54,0.0136,contaminated,13,p213
980.98,0.0132,contaminated,13,p213
986.42,0.0128,contaminated,13,p213
991.86,0.0123,contaminated,13,p213
997.3,0.0119,contaminated,13,p213
1002.74,0.0115,contaminated,13,p213
1008.18,0.0115,contaminated,13,p213
1013.62,0.0121,contaminated,13,p213
1019.06,0.0113,contaminated,13,p213
1024.5,0.0128,contaminated,13,p213
1029.95,0.0136,contaminated,13,p213
1035.39,0.0124,contaminated,13,p213
1040.83,0.0124,contaminated,13,p213
1046.27,0.0121,contaminated,13,p213
1051.71,0.0128,contaminated,13,p213
1057.15,0.0123,contaminated,13,p213
1062.59,0.0128,contaminated,13,p213
1068.03,0.0124,contaminated,13,p213
1073.47,0.0135,contaminated,13,p213
1078.91,0.0129,contaminated,13,p213
1084.35,0.0127,contaminated,13,p213
1089.79,0.0126,contaminated,13,p213
1095.23,0.0124,contaminated,13,p213
1100.67,0.0123,contaminated,13,p213
1106.11,0.0121,contaminated,13,p213
1111.55,0.0119,contaminated,13,p213
1116.99,0.0118,contaminated,13,p213
1122.43,0.0116,contaminated,13,p213
1127.87,0.0115,contaminated,13,p213
1133.32,0.0113,contaminated,13,p213
1138.76,0.0112,contaminated,13,p213
1144.2,0.011,contaminated,13,p213
1149.64,0.0108,contaminated,13,p213
1155.08,0.0107,contaminated,13,p213
1160.52,0.0105,contaminated,13,p213
1165.96,0.0104,contaminated,13,p213
1171.4,0.0102,contaminated,13,p213
1176.84,0.0101,contaminated,13,p213
1182.28,0.0099,contaminated,13,p213
1187.72,0.0098,contaminated,13,p213
1193.16,0.0096,contaminated,13,p213
1198.6,0.0099,contaminated,13,p213
1204.04,0.0093,contaminated,13,p213
1209.48,0.0099,contaminated,13,p213
1214.92,0.01,contaminated,13,p213
1220.36,0.0088,contaminated,13,p213
1225.8,0.0102,contaminated,13,p213
1231.24,0.0095,contaminated,13,p213
1236.69,0.01,contaminated,13,p213
1242.13,0.011,contaminated,13,p213
1247.57,0.0104,contaminated,13,p213
1253.01,0.0102,contaminated,13,p213
1258.45,0.0094,contaminated,13,p213
1263.89,0.0103,contaminated,13,p213
1269.33,0.0104,contaminated,13,p213
1274.77,0.0101,contaminated,13,p213
1280.21,0.0106,contaminated,13,p213
1285.65,0.0111,contaminated,13,p213
1291.09,0.0109,contaminated,13,p213
1296.53,0.0099,contaminated,13,p213
1301.97,0.0082,contaminated,13,p213
1307.41,0.0098,contaminated,13,p213
1312.85,0.0096,contaminated,13,p213
1318.29,0.0091,contaminated,13,p213
1323.73,0.0083,contaminated,13,p213
1329.17,0.0077,contaminated,13,p213
1334.61,0.0076,contaminated,13,p213
1340.06,0.0074,contaminated,13,p213
1345.5,0.0073,contaminated,13,p213
1350.94,0.0072,contaminated,13,p213
1356.38,0.007,contaminated,13,p213
1361.82,0.0069,contaminated,13,p213
1367.26,0.0068,contaminated,13,p213
1372.7,0.0066,contaminated,13,p213
1378.14,0.0065,contaminated,13,p213
1383.58,0.0064,contaminated,13,p213
1389.02,0.0062,contaminated,13,p213
1394.46,0.0061,contaminated,13,p213
1399.9,0.006,contaminated,13,p213
1405.34,0.0058,contaminated,13,p213
1410.78,0.0057,contaminated,13,p213
1416.22,0.0056,contaminated,13,p213
1421.66,0.0055,contaminated,13,p213
1427.1,0.0053,contaminated,13,p213
1432.54,0.0052,contaminated,13,p213
1437.98,0.0051,contaminated,13,p213
1443.43,0.005,contaminated,13,p213
1448.87,0.0048,contaminated,13,p213
1454.31,0.0047,contaminated,13,p213
1459.75,0.0046,contaminated,13,p213
1465.19,0.0045,contaminated,13,p213
1470.63,0.0043,contaminated,13,p213
1476.07,0.0042,contaminated,13,p213
1481.51,0.0041,contaminated,13,p213
1486.95,0.004,contaminated,13,p213
1492.39,0.0038,contaminated,13,p213
1497.83,0.0051,contaminated,13,p213
1503.27,0.0048,contaminated,13,p213
1508.71,0.0053,contaminated,13,p213
1514.15,0.0063,contaminated,13,p213
1519.59,0.0058,contaminated,13,p213
1525.03,0.0063,contaminated,13,p213
1530.47,0.0068,contaminated,13,p213
1535.91,0.0066,contaminated,13,p213
1541.35,0.0072,contaminated,13,p213
1546.8,0.0066,contaminated,13,p213
1552.24,0.0064,contaminated,13,p213
1557.68,0.0067,contaminated,13,p213
1563.12,0.0071,contaminated,13,p213
1568.56,0.0072,contaminated,13,p213
1574.0,0.006,contaminated,13,p213
1579.44,0.0067,contaminated,13,p213
1584.88,0.0065,contaminated,13,p213
1590.32,0.0063,contaminated,13,p213
1595.76,0.0062,contaminated,13,p213
1601.2,0.0078,contaminated,13,p213
1606.64,0.0061,contaminated,13,p213
1612.08,0.0071,contaminated,13,p213
1617.52,0.0072,contaminated,13,p213
1622.96,0.0065,contaminated,13,p213
1628.4,0.0061,contaminated,13,p213
1633.84,0.0064,contaminated,13,p213
1639.28,0.0074,contaminated,13,p213
1644.72,0.0071,contaminated,13,p213
1650.17,0.0061,contaminated,13,p213
1655.61,0.0081,contaminated,13,p213
1661.05,0.0059,contaminated,13,p213
1666.49,0.0061,contaminated,13,p213
1671.93,0.0078,contaminated,13,p213
1677.37,0.007,contaminated,13,p213
1682.81,0.0059,contaminated,13,p213
1688.25,0.0063,contaminated,13,p213
1693.69,0.0078,contaminated,13,p213
1699.13,0.0065,contaminated,13,p213
1704.57,0.0068,contaminated,13,p213
1710.01,0.0075,contaminated,13,p213
1715.45,0.0071,contaminated,13,p213
1720.89,0.0051,contaminated,13,p213
1726.33,0.0065,contaminated,13,p213
1731.77,0.0064,contaminated,13,p213
1737.21,0.0072,contaminated,13,p213
1742.65,0.0066,contaminated,13,p213
1748.09,0.0065,contaminated,13,p213
1753.54,0.0065,contaminated,13,p213
1758.98,0.0087,contaminated,13,p213
1764.42,0.0048,contaminated,13,p213
1769.86,0.0064,contaminated,13,p213
1775.3,0.0026,contaminated,13,p213
1780.74,0.0027,contaminated,13,p213
1786.18,0.0027,contaminated,13,p213
1791.62,0.0028,contaminated,13,p213
1797.06,0.0028,contaminated,13,p213
1802.5,0.0029,contaminated,13,p213
1807.94,0.0029,contaminated,13,p213
1813.38,0.003,contaminated,13,p213
1818.82,0.003,contaminated,13,p213
1824.26,0.0031,contaminated,13,p213
1829.7,0.0031,contaminated,13,p213
1835.14,0.0032,contaminated,13,p213
1840.58,0.0032,contaminated,13,p213
1846.02,0.0033,contaminated,13,p213
1851.46,0.0033,contaminated,13,p213
1856.91,0.0034,contaminated,13,p213
1862.35,0.0034,contaminated,13,p213
1867.79,0.0035,contaminated,13,p213
1873.23,0.0036,contaminated,13,p213
1878.67,0.0036,contaminated,13,p213
1884.11,0.0037,contaminated,13,p213
1889.55,0.0037,contaminated,13,p213
1894.99,0.0038,contaminated,13,p213
1900.43,0.0038,contaminated,13,p213
1905.87,0.0039,contaminated,13,p213
1911.31,0.0039,contaminated,13,p213
1916.75,0.004,contaminated,13,p213
1922.19,0.004,contaminated,13,p213
1927.63,0.0041,contaminated,13,p213
1933.07,0.0042,contaminated,13,p213
1938.51,0.0042,contaminated,13,p213
1943.95,0.0043,contaminated,13,p213
1949.39,0.0043,contaminated,13,p213
1954.83,0.0044,contaminated,13,p213
1960.28,0.0045,contaminated,13,p213
1965.72,0.0045,contaminated,13,p213
1971.16,0.0046,contaminated,13,p213
1976.6,0.0046,contaminated,13,p213
1982.04,0.0047,contaminated,13,p213
1987.48,0.0047,contaminated,13,p213
1992.92,0.0048,contaminated,13,p213
1998.36,0.0007,contaminated,13,p213
2003.8,0.053,contaminated,13,p213
2009.24,0.0376,contaminated,13,p213
2014.68,0.0432,contaminated,13,p213
2020.12,0.0003,contaminated,13,p213
2025.56,0.0016,contaminated,13,p213
2031.0,0.0031,contaminated,13,p213
2036.44,0.0046,contaminated,13,p213
2041.88,0.005,contaminated,13,p213
2047.32,0.0028,contaminated,13,p213
2052.76,0.0031,contaminated,13,p213
2058.2,0.0063,contaminated,13,p213
2063.65,0.0011,contaminated,13,p213
2069.09,0.0032,contaminated,13,p213
2074.53,0.0002,contaminated,13,p213
2079.97,0.0031,contaminated,13,p213
2085.41,0.0057,contaminated,13,p213
2090.85,0.0004,contaminated,13,p213
2096.29,0.0026,contaminated,13,p213
2101.73,0.0037,contaminated,13,p213
2107.17,0.0048,contaminated,13,p213
2112.61,0.0043,contaminated,13,p213
2118.05,0.0028,contaminated,13,p213
2123.49,0.0045,contaminated,13,p213
2128.93,0.0031,contaminated,13,p213
2134.37,0.0026,contaminated,13,p213
2139.81,0.0028,contaminated,13,p213
2145.25,0.0036,contaminated,13,p213
2150.69,0.0056,contaminated,13,p213
2156.13,0.0032,contaminated,13,p213
2161.57,0.0042,contaminated,13,p213
2167.02,0.0025,contaminated,13,p213
2172.46,0.0031,contaminated,13,p213
2177.9,0.0066,contaminated,13,p213
2183.34,0.0045,contaminated,13,p213
2188.78,0.0062,contaminated,13,p213
2194.22,0.0029,contaminated,13,p213
2199.66,0.0022,contaminated,13,p213
2205.1,0.0021,contaminated,13,p213
2210.54,0.0037,contaminated,13,p213
2215.98,0.0004,contaminated,13,p213
2221.42,0.0026,contaminated,13,p213
2226.86,0.0038,contaminated,13,p213
2232.3,0.0028,contaminated,13,p213
2237.74,0.0005,contaminated,13,p213
2243.18,0.0075,contaminated,13,p213
2248.62,0.0045,contaminated,13,p213
2254.06,0.0015,contaminated,13,p213
2259.5,0.0048,contaminated,13,p213
2264.94,0.0038,contaminated,13,p213
2270.39,0.0019,contaminated,13,p213
2275.83,0.0023,contaminated,13,p213
2281.27,0.0011,contaminated,13,p213
2286.71,0.0051,contaminated,13,p213
2292.15,0.0029,contaminated,13,p213
2297.59,0.0018,contaminated,13,p213
2303.03,0.0033,contaminated,13,p213
2308.47,0.0,contaminated,13,p213
2313.91,0.0031,contaminated,13,p213
2319.35,0.005,contaminated,13,p213
2324.79,0.0011,contaminated,13,p213
2330.23,0.0037,contaminated,13,p213
2335.67,0.0027,contaminated,13,p213
2341.11,0.0017,contaminated,13,p213
2346.55,0.0,contaminated,13,p213
2351.99,0.04,contaminated,13,p213
2357.43,0.0,contaminated,13,p213
2362.87,0.0074,contaminated,13,p213
2368.32,0.0096,contaminated,13,p213
2373.76,0.0034,contaminated,13,p213
2379.2,0.0,contaminated,13,p213
2384.64,0.0,contaminated,13,p213
2390.08,0.0337,contaminated,13,p213
2395.52,0.0004,contaminated,13,p213
2400.96,0.0007,contaminated,13,p213
2406.4,0.041,contaminated,13,p213
2411.84,0.003,contaminated,13,p213
2417.28,0.0181,contaminated,13,p213
2422.72,0.0006,contaminated,13,p213
2428.16,0.0109,contaminated,13,p213
2433.6,0.0069,contaminated,13,p213
2439.04,0.0272,contaminated,13,p213
2444.48,0.0534,contaminated,13,p213
